Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
579-15-5088,C,Naypyitaw,Member,Female,Food and beverages,26.27,6,7.881,165.501,1/12/2019,11:11,Credit card,157.62,4.761904762,7.881,9.0
662-83-6878,B,Mandalay,Member,Male,Sports and travel,31.06,1,1.553,32.613,3/26/2019,11:32,Ewallet,31.06,4.761904762,1.553,4.0
994-59-5015,C,Naypyitaw,Member,Female,Electronic accessories,84.35,2,8.435,177.135,2/11/2019,10:37,Cash,168.7,4.761904762,8.435,9.0
320-69-8296,C,Naypyitaw,Member,Female,Food and beverages,88.6,1,4.43,93.03,3/5/2019,14:45,Cash,88.6,4.761904762,4.43,6.4
388-16-1094,A,Yangon,Normal,Male,Health and beauty,46.44,9,20.898,438.858,2/23/2019,10:26,Credit card,417.96,4.761904762,20.898,8.2
668-69-2083,C,Naypyitaw,Member,Female,Food and beverages,21.23,9,9.5535,200.6235,2/16/2019,13:56,Cash,191.07,4.761904762,9.5535,4.7
120-68-4579,C,Naypyitaw,Normal,Male,Sports and travel,17.74,1,0.887,18.627,2/27/2019,20:22,Credit card,17.74,4.761904762,0.887,7.0
475-33-7462,C,Naypyitaw,Member,Male,Health and beauty,50.61,1,2.5305,53.1405,3/22/2019,19:09,Credit card,50.61,4.761904762,2.5305,7.4
769-14-1802,A,Yangon,Normal,Male,Health and beauty,49.31,8,19.724,414.204,3/6/2019,20:02,Cash,394.48,4.761904762,19.724,8.9
599-63-2303,B,Mandalay,Member,Female,Food and beverages,33.28,6,9.984,209.664,2/19/2019,10:07,Credit card,199.68,4.761904762,9.984,4.3
242-70-5091,B,Mandalay,Normal,Male,Electronic accessories,63.98,4,12.796,268.716,3/1/2019,17:26,Credit card,255.92,4.761904762,12.796,7.0
207-64-1662,C,Naypyitaw,Normal,Male,Fashion accessories,59.11,7,20.6885,434.4585,2/26/2019,16:24,Cash,413.77,4.761904762,20.6885,5.1
307-73-3001,B,Mandalay,Member,Male,Food and beverages,50.82,3,7.623,160.083,2/10/2019,11:51,Credit card,152.46,4.761904762,7.623,7.8
157-95-3020,C,Naypyitaw,Normal,Male,Food and beverages,39.31,2,3.931,82.551,2/27/2019,19:07,Cash,78.62,4.761904762,3.931,8.3
562-83-9908,B,Mandalay,Member,Male,Electronic accessories,40.17,4,8.034,168.714,2/11/2019,14:15,Ewallet,160.68,4.761904762,8.034,9.2
827-40-8686,A,Yangon,Member,Female,Food and beverages,56.98,9,25.641,538.461,3/11/2019,20:58,Ewallet,512.82,4.761904762,25.641,6.1
111-39-2794,B,Mandalay,Normal,Male,Fashion accessories,52.23,8,20.892,438.732,3/28/2019,11:01,Cash,417.84,4.761904762,20.892,8.5
574-89-7959,A,Yangon,Normal,Male,Health and beauty,70.99,2,7.099,149.079,3/28/2019,17:25,Ewallet,141.98,4.761904762,7.099,9.3
997-22-7769,C,Naypyitaw,Member,Female,Electronic accessories,74.22,6,22.266,467.586,3/16/2019,11:11,Cash,445.32,4.761904762,22.266,4.2
751-50-1877,B,Mandalay,Member,Male,Electronic accessories,34.41,9,15.4845,325.1745,2/25/2019,20:32,Cash,309.69,4.761904762,15.4845,8.0
193-91-3656,C,Naypyitaw,Normal,Female,Home and lifestyle,24.18,10,12.09,253.89,3/10/2019,16:58,Cash,241.8,4.761904762,12.09,8.6
672-94-5439,B,Mandalay,Normal,Male,Food and beverages,31.4,8,12.56,263.76,1/18/2019,10:13,Ewallet,251.2,4.761904762,12.56,6.5
288-53-3065,C,Naypyitaw,Normal,Male,Home and lifestyle,30.99,2,3.099,65.079,2/15/2019,12:22,Credit card,61.98,4.761904762,3.099,4.9
263-82-4112,C,Naypyitaw,Normal,Male,Sports and travel,71.59,3,10.7385,225.5085,1/25/2019,13:26,Cash,214.77,4.761904762,10.7385,8.6
715-74-5944,C,Naypyitaw,Normal,Male,Electronic accessories,66.32,3,9.948,208.908,1/1/2019,10:47,Ewallet,198.96,4.761904762,9.948,4.9
586-26-5763,A,Yangon,Member,Male,Health and beauty,74.79,2,7.479,157.059,3/28/2019,10:59,Cash,149.58,4.761904762,7.479,6.7
775-27-3087,B,Mandalay,Normal,Female,Electronic accessories,67.14,2,6.714,140.994,3/20/2019,20:05,Cash,134.28,4.761904762,6.714,6.9
720-97-4527,A,Yangon,Member,Male,Food and beverages,48.76,4,9.752,204.792,2/17/2019,20:29,Cash,195.04,4.761904762,9.752,8.2
844-26-6126,A,Yangon,Normal,Female,Sports and travel,79.6,6,23.88,501.48,1/25/2019,15:45,Cash,477.6,4.761904762,23.88,5.9
948-49-5560,C,Naypyitaw,Member,Female,Home and lifestyle,58.46,4,11.692,245.532,3/5/2019,19:00,Ewallet,233.84,4.761904762,11.692,5.8
239-56-6270,C,Naypyitaw,Normal,Male,Food and beverages,46.23,5,11.5575,242.7075,2/10/2019,17:48,Credit card,231.15,4.761904762,11.5575,7.1
982-27-4297,C,Naypyitaw,Normal,Female,Health and beauty,81.65,3,12.2475,257.1975,3/15/2019,10:14,Cash,244.95,4.761904762,12.2475,8.7
